type,value
variable 3,-2.0
variable 3,4.0
variable 3,3.0
variable 3,0.0
variable 3,3.0
variable 3,-1.0
variable 3,3.0
variable 3,5.0
variable 3,4.0
variable 3,-1.0
variable 3,0.0
variable 3,-1.0
variable 3,0.0
variable 3,1.0
variable 3,0.0
variable 3,4.0
variable 3,-1.0
variable 3,-1.0
variable 3,4.0
variable 3,-4.0
variable 3,-1.0
variable 3,0.0
variable 3,4.0
variable 3,-2.0
variable 3,0.0
variable 3,-3.0
variable 3,2.0
variable 3,-3.0
variable 3,4.0
variable 3,3.0
variable 3,-11.0
variable 3,8.0
variable 3,0.0
variable 3,2.0
variable 3,3.0
variable 3,7.0
variable 3,-1.0
variable 3,0.0
variable 3,2.0
variable 3,5.0
variable 3,4.0
variable 3,2.0
variable 3,-1.0
variable 3,4.0
variable 3,1.0
variable 3,1.0
variable 3,6.0
variable 3,10.0
variable 3,1.0
variable 3,-1.0
variable 3,-2.0
variable 3,-1.0
variable 3,4.0
variable 3,-5.0
variable 3,3.0
variable 3,9.0
variable 3,0.0
variable 3,1.0
variable 3,9.0
variable 3,-6.0
variable 3,-1.0
variable 3,1.0
variable 3,2.0
variable 3,4.0
variable 3,2.0
variable 3,2.0
variable 3,16.0
variable 3,-5.0
variable 3,1.0
variable 3,3.0
variable 3,2.0
variable 3,2.0
variable 3,-1.0
variable 3,8.0
variable 3,4.0
variable 3,4.0
variable 3,6.0
variable 3,-3.0
variable 3,4.0
variable 3,0.0
variable 3,0.0
variable 3,4.0
variable 3,6.0
variable 3,-3.0
variable 3,3.0
variable 3,2.0
variable 3,4.0
variable 3,2.0
variable 3,-3.0
variable 3,0.0
variable 3,4.0
variable 3,0.0
variable 3,2.0
variable 3,1.0
variable 3,1.0
variable 3,0.0
variable 3,0.0
variable 3,0.0
variable 3,0.0
variable 3,3.0
variable 3,-5.0
variable 3,0.0
variable 3,4.0
variable 3,2.0
variable 3,0.0
variable 3,4.0
variable 3,-1.0
variable 3,0.0
variable 3,2.0
variable 3,3.0
variable 3,6.0
variable 3,2.0
variable 3,0.0
variable 3,0.0
variable 3,3.0
variable 3,1.0
variable 3,1.0
variable 3,2.0
variable 3,-5.0
variable 3,4.0
variable 3,-1.0
variable 3,5.0
variable 3,1.0
variable 3,4.0
variable 3,1.0
variable 3,2.0
variable 3,1.0
variable 3,1.0
variable 3,2.0
variable 3,-1.0
variable 3,4.0
variable 3,-1.0
variable 3,2.0
variable 3,0.0
variable 3,6.0
variable 3,0.0
variable 3,-2.0
variable 3,-2.0
variable 3,2.0
variable 3,2.0
variable 3,-2.0
variable 3,9.0
variable 3,4.0
variable 3,4.0
variable 3,0.0
variable 3,0.0
variable 3,0.0
variable 3,2.0
variable 3,2.0
variable 3,-4.0
variable 3,1.0
variable 3,0.0
variable 3,0.0
variable 3,4.0
variable 3,4.0
variable 3,0.0
variable 3,2.0
variable 3,2.0
variable 3,2.0
variable 3,0.0
variable 3,4.0
variable 3,-5.0
variable 3,9.0
variable 3,-3.0
variable 3,0.0
variable 3,-5.0
variable 3,0.0
variable 3,-1.0
variable 3,3.0
variable 3,-5.0
variable 3,2.0
variable 3,2.0
variable 3,3.0
variable 3,0.0
variable 3,3.0
variable 3,-3.0
variable 3,0.0
variable 3,4.0
variable 3,0.0
variable 3,9.0
variable 3,4.0
variable 3,4.0
variable 3,0.0
variable 3,0.0
variable 3,0.0
variable 3,1.0
variable 3,0.0
variable 3,-1.0
variable 3,2.0
variable 3,-1.0
variable 3,0.0
variable 3,3.0
variable 3,5.0
variable 3,0.0
variable 3,9.0
variable 3,-1.0
variable 3,6.0
variable 3,4.0
variable 3,0.0
variable 3,4.0
variable 3,1.0
variable 3,-4.0
variable 3,2.0
variable 3,0.0
variable 3,-5.0
variable 3,-4.0
variable 3,0.0
variable 3,-1.0
variable 3,9.0
variable 3,3.0
variable 3,2.0
variable 3,1.0
variable 3,0.0
variable 3,-1.0
variable 3,4.0
